Group,Team,Odds,Prob,Implied,Site,Date
Group A,England,-250,0.7142857142857143,0.6575554409489428,Bet Online,2022-07-03
Group A,Norway,+250,0.2857142857142857,0.2630221763795771,Bet Online,2022-07-03
Group A,Austria,+1400,0.06666666666666667,0.06137184115523466,Bet Online,2022-07-03
Group A,Northern Ireland,+5000,0.0196078431372549,0.018050541516245487,Bet Online,2022-07-03
Group B,Spain,-120,0.5454545454545454,0.49774223808960005,Bet Online,2022-07-03
Group B,Germany,+135,0.425531914893617,0.38830954744578733,Bet Online,2022-07-03
Group B,Denmark,+850,0.10526315789473684,0.09605551963132633,Bet Online,2022-07-03
Group B,Finland,+5000,0.0196078431372549,0.017892694833286277,Bet Online,2022-07-03
Group C,Netherlands,-125,0.5555555555555556,0.5091902632886239,Bet Online,2022-07-03
Group C,Sweden,+125,0.4444444444444444,0.4073522106308991,Bet Online,2022-07-03
Group C,Switzerland,+1400,0.06666666666666667,0.06110283159463487,Bet Online,2022-07-03
Group C,Portugal,+4000,0.024390243902439025,0.022354694485842028,Bet Online,2022-07-03
Group D,France,-325,0.7647058823529411,0.7014917863701542,Bet Online,2022-07-03
Group D,Italy,+450,0.18181818181818182,0.16678825689919752,Bet Online,2022-07-03
Group D,Iceland,+1200,0.07692307692307693,0.07056426253427588,Bet Online,2022-07-03
Group D,Belgium,+1400,0.06666666666666667,0.06115569419637242,Bet Online,2022-07-03
