,0
England,1.8183406491466672
Spain,1.805690177228692
Belgium,1.5645381118421962
Sweden,1.4860007155637887
Italy,1.4322861059898104
Netherlands,1.3981497586112088
Iceland,1.3639714121795823
Scotland,1.2183206937323563
Norway,1.2154154752639734
Austria,1.2112309214013353
Republic of Ireland,1.1933980862942228
Germany,1.1592267929898592
Switzerland,1.094898350396061
France,1.0815831629506338
Serbia,0.895213731540615
Poland,0.8791606214069816
Denmark,0.7493404285058062
Romania,0.6394003163910137
Northern Ireland,0.6375154772435244
Russia,0.5729356526843499
Finland,0.5642215184697055
Wales,0.5423174061863993
Slovenia,0.5099664705870983
Slovakia,0.45072310221221734
Czech Republic,0.415838701073404
Belarus,0.32800014190551274
Portugal,0.31964941533277924
HFA,0.27822892201561555
Ukraine,0.18015841409652533
Hungary,0.14334918994652318
Greece,0.04564630552466422
Croatia,-0.02567970277383651
const,-0.03244700486993073
Bosnia-Herzegovina,-0.09107450220255962
Kosovo,-0.10855104520889347
Israel,-0.1389640293411374
Turkey,-0.24692076189170237
Lithuania,-0.27845340537451546
Azerbaijan,-0.30491740689954394
Malta,-0.39694543940840316
Estonia,-0.6207759242910557
Montenegro,-0.6249599376596695
Luxembourg,-0.6667819171740146
Latvia,-0.6731092059271142
Cyprus,-0.7118880862598834
North Macedonia,-0.7135011947025325
Moldova,-0.774991482696187
Kazakhstan,-0.846160597503886
Bulgaria,-0.8627795971516835
Faroe Islands,-1.0572880021498134
Georgia,-1.0593632852528043
Armenia,-1.2621902104053473
